	2012	2013	2014	2015	2016
Arbutus_unedo	149	5	373	173	47
Crataegus_monogyna	80	21	51	37	129
Daphne_gnidium	1	0	1	0	1
Ficus_carica	1	1	1	1	1
Lonicera_periclymenum	0	1	0	1	1
Olea_europaea	1	0	24	0	0
Phillyrea_angustifolia	0	0	0	1	0
Phillyrea_latifolia	0	53	1	1	1
Phytolacca_americana	1	0	0	1	1
Pistacia_lentiscus	67	8	175	681	0
Rhamnus_alaternus	13	1	93	1	31
Rubia_peregrina	23	0	49	66	0
Rubus_ulmifolius	1	1	1	1	1
Smilax_aspera	494	333	724	492	405
Solanum_nigrum	1	1	1	1	0
Viburnum_tinus	95	41	785	470	734
Vitis_vinifera	1	1	1	1	1
