Scientific,Family1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Hand.Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Toe,Gape_size_mcf,NicheBreadth,NichePosition,IUCN,RangeSize_Cells,RangeSize_Meters,MidPoint_Long,MidPoint_Lat,Realm,degree,betweenness,closeness,katzz,PC1,PC2,Nwebs,PC1_nobet,PC2_nobet,ED,DR
Acridotheres tristis,Sturnidae,26.8,16,6.4,8,38.6,139.8,32.8,23.6,84.8,116.4,Human Modified,Carnivore,Omnivore,Terrestrial,28.9,NA,4.265407553,-0.86710218,LC,1131,1.26E+13,83.83413379,23.46672467,Oriental,40,0.003476289,0.00095391,43.45037041,1.695931263,0.270703586,7,1.378575352,0.805619129,3.013057325,0.340322531
Aegithalos caudatus,Aegithalidae,7.6,4.2,2.5,3.3,15.9,63.1,14,22,87.8,8.6,Forest,Carnivore,Invertivore,Insessorial,9.4,NA,2.082645599,0.737750423,LC,3085,2.40E+13,71.48759123,52.93085861,Palearctic,2,0,0.000670885,1.720049608,-1.093972996,-0.513991385,5,-1.095448947,-0.458052571,9.670094349,0.105482787
Aegithalos concinnus,Aegithalidae,7.4,4.3,2.5,3,15.5,48.6,8.6,17.6,46.8,6.1,Forest,Carnivore,Invertivore,Insessorial,11.1,NA,3.969802244,-0.672228867,LC,389,4.27E+12,104.2743526,27.51328137,Sino-Japanese,1,0,0.000556061,1.049822265,-1.550397607,-1.242502824,1,-1.636459528,-1.21036389,9.78471949,0.104050845
Aegithina lafresnayei,Aegithinidae,23.4,14.9,5.1,6.3,20.1,70.5,6,8.6,56,12,Forest,Carnivore,Invertivore,Insessorial,12.5,NA,4.159731672,-1.597879324,LC,194,2.30E+12,102.0168675,14.87506101,Oriental,5,6.41E-05,0.000703254,2.734250902,-0.882674652,-0.34046559,1,-0.864430475,-0.283821752,13.37935315,0.091031039
Aegithina tiphia,Aegithinidae,17,10.8,4.3,4.5,19.7,61.6,6.2,10,47.8,12,Forest,Carnivore,Invertivore,Insessorial,8.4,NA,3.606471234,-1.572647798,LC,727,8.55E+12,94.28098457,14.79393584,Oriental,3,0.000280803,0.000764541,2.824590551,-0.663529972,0.015732226,2,-0.646893938,0.151358967,13.55859805,0.084663127
Aethopyga siparaja,Nectariniidae,19,14.3,3.4,2.4,13,50.4,8.7,17.4,38.1,6.7,Forest,Herbivore,Nectarivore,Insessorial,NA,NA,5.282599286,-1.683322299,LC,641,7.56E+12,101.6618197,12.96403694,Oriental,1,0,0.000680051,1.572183451,-1.085247997,-0.448923734,1,-1.082954014,-0.3833713,12.50560451,0.095984212
Agelaioides badius,Icteridae,18.9,11.6,5,8.4,26.8,93.5,16.9,18.1,77.9,45.3,Forest,Omnivore,Omnivore,Terrestrial,NA,NA,0.881596822,-0.656682785,LC,471,5.23E+12,-61.32761834,-28.85106984,Neotropical,1,0,0.00080075,11.00666181,-0.602178728,0.323611966,1,-0.509352949,0.39245147,4.920819505,0.21287909
Ailuroedus buccoides,Ptilonorhynchidae,29,17,9,12.3,37.9,129.6,26,20,89,138,Forest,Omnivore,Omnivore,Insessorial,22.2,NA,3.698173941,-2.382118757,LC,90,1.10E+12,140.1503298,-4.727778233,Oceanina,2,5.16E-06,0.000457833,1.069048121,-1.891448618,-1.878752979,1,-2.045570402,-1.879871909,21.17977483,0.051738164
Ailuroedus melanotis,Ptilonorhynchidae,37.5,21,10.7,16,45.8,157.8,32.9,20.5,115.8,176.9,Forest,Herbivore,Frugivore,Insessorial,33.5,20.4,3.492569176,-1.986660817,LC,64,7.78E+11,147.0624992,-7.492065825,Oceanina,4,0.00120937,0.000711278,1.885888349,-0.669922996,-0.540913651,1,-0.85974944,-0.214487012,23.16051685,0.046601871
Alcippe brunnea,Pellorneidae,13.8,7.3,3,4.1,22.6,59.1,6,10.1,48.8,17.4,Forest,Carnivore,Invertivore,Generalist,NA,NA,1.426426911,-0.534747755,LC,99,1.08E+12,113.5387327,27.21052419,Sino-Japanese,1,0,0.000552632,1.048616695,-1.563216359,-1.264449111,1,-1.651715044,-1.233277595,9.37144007,0.121310231
