Scientific,Family1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Hand.Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Toe,Gape_size_mcf,NicheBreadth,NichePosition,IUCN,RangeSize_Cells,RangeSize_Meters,MidPoint_Long,MidPoint_Lat,Realm,degree,betweenness,closeness,katzz,PC1,PC2,Nwebs,PC1_nobet,PC2_nobet,ED,DR
Coccyzus americanus,Cuculidae,29.2,20,7,8.2,24.5,143.4,62.4,43,146.3,64,Forest,Carnivore,Invertivore,Insessorial,NA,NA,4.463457096,-0.98773527,LC,2231,2.51E+13,-73.00006075,9.62551492,Neotropical,7,0.000212536,0.000880279,17.79187025,-0.092669324,0.74633211,1,0.037006226,0.824195808,8.297763076,0.123096987
Coccyzus melacoryphus,Cuculidae,25,17.9,6.2,7.7,24.5,116.3,32,27.5,139.2,49.7,Woodland,Carnivore,Invertivore,Insessorial,NA,NA,2.606294932,-1.456090844,LC,1295,1.54E+13,-58.15752215,-10.63198634,Neotropical,2,3.26E-07,0.000792635,10.03150952,-0.610722247,0.265197941,2,-0.521548101,0.328473858,13.78652694,0.073663555
Cochoa viridis,Turdidae,24.1,11,6.7,6,26.1,143.3,39.5,27.6,114,120,Forest,Omnivore,Frugivore,Insessorial,NA,15.7,5.295742064,-1.279621251,LC,189,2.17E+12,99.39352421,20.87998897,Oriental,1,0,0.000632435,1.276933983,-1.264202176,-0.753685292,1,-1.295887802,-0.700654741,6.181540133,0.192427109
Coereba flaveola,Thraupidae,13.2,9.9,3.6,3.9,16.9,54.6,11,19.2,34.1,10,Shrubland,Herbivore,Nectarivore,Insessorial,10.9,NA,2.189833863,-1.559871102,LC,1287,1.54E+13,-59.76684784,-6.698633413,Neotropical,95,0.007532873,0.001101812,903.9731168,7.289727931,-0.046730071,32,6.913871394,-1.733503897,9.206193414,0.114201518
Colaptes auratus,Picidae,38.4,27.6,8.2,7.9,28.4,151.8,37.5,24.8,105.3,131.5,Shrubland,Carnivore,Invertivore,Generalist,NA,NA,2.854114924,0.558436004,LC,2247,1.85E+13,-107.196309,51.64615312,Nearctic,31,0.000348236,0.000824844,28.66483854,0.362748614,0.207410641,6,0.497612473,0.107768131,6.463705233,0.164366272
Colaptes melanochloros,Picidae,30.6,22,8.4,7.9,22.9,134.2,17.5,13.3,94.6,127.3,Forest,Carnivore,Invertivore,Insessorial,NA,NA,1.088862384,-0.859013307,LC,705,7.97E+12,-53.91125594,-22.66350973,Neotropical,2,7.33E-05,0.000852413,38.55319834,-0.277181139,0.631428402,3,-0.1445079,0.634654967,3.525164052,0.297358207
Colaptes pitius,Picidae,42.4,32.8,9.4,8.3,28.6,151.5,37.8,25,110,159,Woodland,Carnivore,Invertivore,Terrestrial,NA,NA,1.564989304,-0.168775354,LC,76,7.06E+11,-72.20219842,-41.71502927,Neotropical,2,0.00021069,0.000734663,6.401771368,-0.800987004,-0.153277488,3,-0.793536033,-0.047107288,3.168280475,0.338703964
Colaptes rivolii,Picidae,33.5,24.9,9.1,8,24.8,131.1,27.3,20.9,103.6,102,Forest,Carnivore,Invertivore,Insessorial,NA,NA,3.003754856,-1.162039866,LC,89,1.08E+12,-73.94072406,-5.277572681,Neotropical,1,0,0.000816843,28.54653654,-0.482556055,0.426662478,1,-0.369411448,0.442604589,3.519347992,0.298546622
Colaptes rubiginosus,Picidae,27,18,7.1,7.4,22,123.7,30.1,24.1,76.3,55.8,Forest,Carnivore,Invertivore,Insessorial,NA,NA,3.087114421,-1.499575715,LC,358,4.30E+12,-68.08189471,4.513615061,Neotropical,18,0.000736578,0.000950024,117.3181305,0.877228201,1.004471787,6,1.039818389,0.822358073,2.672281656,0.396868675
Colius striatus,Coliidae,14.9,9.4,6.5,7.5,22.6,94.8,23.1,24.4,195,51.1,Shrubland,Herbivore,Frugivore,Insessorial,NA,11,0.521219676,-0.981388092,LC,821,9.84E+12,28.04756753,-5.082170013,Afrotropical,28,0.005867491,0.00095631,20.66681266,1.767133639,-0.176316228,16,0.968057501,1.05140034,32.5917224,0.033160969
Colonia colonus,Tyrannidae,12.4,6.2,5.3,3.4,15.1,80.8,15,18.9,159.7,18.3,Forest,Carnivore,Invertivore,Insessorial,10.2,NA,1.458604293,-1.448935957,LC,706,8.43E+12,-57.25819082,-12.03785519,Neotropical,1,0,0.000775468,15.319846,-0.682039146,0.16180682,1,-0.604991012,0.209355175,14.47182976,0.076896489
Colorhamphus parvirostris,Tyrannidae,11.5,6,3.4,2.8,17.5,61.3,11.1,18.2,53.2,10.6,Forest,Carnivore,Invertivore,Insessorial,NA,NA,8.067160504,-0.370669755,LC,101,8.87E+11,-72.40879168,-45.62841674,Neotropical,3,0,0.00062608,1.80359336,-1.236103189,-0.80715426,2,-1.266701408,-0.7707141,13.65197532,0.078191592
Columba arquatrix,Columbidae,27.9,12.8,4.3,5.9,28.3,225.4,84.3,37.1,131.7,400,Forest,Herbivore,Frugivore,Insessorial,NA,11.5,0.397966293,-0.705459742,LC,295,3.47E+12,32.84691769,-5.538970712,Afrotropical,22,0.001545423,0.000897561,11.14664031,0.570043164,0.46044732,4,0.503458336,0.767488353,10.37580647,0.121703523
Columba guinea,Columbidae,25,13.3,4.1,4.9,28.8,228.3,93.2,41,117.8,352,Shrubland,Herbivore,Granivore,Terrestrial,NA,NA,0.986922236,-0.818066531,LC,1078,1.28E+13,19.59955948,8.789969945,Afrotropical,5,0.000240405,0.000863957,9.062327861,-0.228206067,0.648356918,1,-0.125010889,0.769540693,6.048602232,0.200404478
Columba janthina,Columbidae,26.6,12.7,4.8,6,32.7,237.8,81.3,34.2,182,397,Forest,Herbivore,Granivore,Insessorial,NA,NA,1.318686013,-1.101947347,NT,20,2.13E+11,128.5059794,27.20156592,Oriental,4,1.76E-07,0.000647019,1.313063677,-1.134447956,-0.679574967,2,-1.147782416,-0.642088962,5.509640475,0.23866155
Columba leucomela,Columbidae,23.7,14.8,5.1,6.3,27.4,229.6,73.9,32.2,132.2,420,Forest,Herbivore,Omnivore,Insessorial,NA,10.6,1.15635053,-0.673446672,LC,61,6.62E+11,150.9704323,-30.22431038,Australian,8,0,0.000601986,1.388226859,-1.202398891,-0.99335632,3,-1.236986504,-0.995043284,5.520443735,0.228279986
Columba oenas,Columbidae,23.2,11.8,6.8,7.8,26.4,214.8,91.6,42.5,119.4,290.8,Woodland,Herbivore,Omnivore,Terrestrial,NA,NA,0.42500943,0.515843571,LC,1602,1.26E+13,31.25546213,52.55675941,Palearctic,1,0,0.000731463,1.999633487,-0.891663954,-0.119874585,1,-0.852627384,-0.041158345,5.651812591,0.215479534
Columba palumbus,Columbidae,27.8,13.1,8,7.8,31.5,246.4,101.4,41.2,153.2,490,Woodland,Herbivore,Omnivore,Terrestrial,NA,NA,0.824785438,0.424296365,LC,2060,1.65E+13,27.29595185,53.18452623,Palearctic,20,0.000453755,0.000895503,22.98000727,0.351603112,0.706226777,14,0.485031692,0.740869383,6.023691537,0.189466137
Columba pulchricollis,Columbidae,22.9,10.8,4.3,5.1,25.3,204.2,78.2,38,117.2,330,Forest,Herbivore,Frugivore,Insessorial,NA,11.8,6.922882829,-0.820944354,LC,104,1.16E+12,94.73142018,25.87466896,Oriental,1,0,0.000583949,1.068212202,-1.446109314,-1.064006331,1,-1.512347875,-1.024027187,5.895805034,0.196785664
Columbina talpacoti,Columbidae,14.2,8.3,3.1,3.6,16.4,86.8,17.7,19.9,65.8,46,Human Modified,Herbivore,Granivore,Terrestrial,NA,NA,2.199024559,-1.460027501,LC,1409,1.68E+13,-61.97013446,-7.212193758,Neotropical,3,1.18E-05,0.000849076,57.69821137,-0.211017055,0.617592462,3,-0.057032169,0.536757076,4.312593152,0.237368607
Conirostrum speciosum,Thraupidae,11.5,8.4,2.8,3.6,14.3,55.8,12.5,22.1,40.2,8.8,Forest,Carnivore,Invertivore,Insessorial,NA,NA,1.366775656,-1.389646044,LC,771,9.18E+12,-54.94183348,-13.80707275,Neotropical,14,6.88E-05,0.000850676,165.0745289,0.444920466,0.544898479,10,0.673292225,0.053776419,4.726368029,0.251209675
Conopophaga lineata,Conopophagidae,16.4,8.9,4.9,4,28.1,70,7.8,11,45.3,25.2,Forest,Carnivore,Invertivore,Insessorial,20,NA,0.184481281,-1.054202031,LC,207,2.38E+12,-48.67999086,-21.68487812,Neotropical,2,1.60E-05,0.000730891,11.72239031,-0.832860011,-0.133503582,1,-0.789574008,-0.0897308,10.1158977,0.116264001
Contopus virens,Tyrannidae,14.3,10,6.3,4,14.2,81,25.6,31,62.7,13.9,Forest,Carnivore,Invertivore,Insessorial,8.3,NA,7.232136976,-0.870226085,LC,1206,1.31E+13,-80.30257142,25.28403577,Nearctic,3,4.21E-06,0.000787926,33.7924123,-0.521999902,0.227851138,1,-0.422181562,0.206301351,4.47133023,0.267892021
Copsychus malabaricus,Muscicapidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,NA,4.264693868,-1.74659955,NA,582,6.89E+12,99.43853695,12.88335369,Oriental,5,0.000719568,0.000866152,12.06413954,-0.121681369,0.554383176,6,-0.103550348,0.774383224,4.405835684,0.234322779
Copsychus saularis,Muscicapidae,23.2,15,5.4,5.8,29.5,97.5,18.7,19.1,84,36,Woodland,Carnivore,Invertivore,Terrestrial,16.7,NA,4.588827067,-1.325132197,LC,1074,1.24E+13,99.46050601,18.09114821,Oriental,2,2.53E-05,0.000715712,2.262716556,-0.919945446,-0.232786262,1,-0.89395481,-0.160218603,2.156328637,0.484803413
Coracina boyeri,Campephagidae,22.7,12.8,7.7,8,22.3,126.9,34.8,27.4,91,66.4,Forest,Herbivore,Frugivore,Insessorial,13.6,15.3,4.637584418,-2.329947825,LC,104,1.27E+12,140.1640784,-5.206389601,Oceanina,2,3.30E-05,0.000461033,1.07565094,-1.874349415,-1.864540414,1,-2.03131057,-1.858503712,8.087080299,0.13449822
Coracina macei,Campephagidae,29.3,18.8,12.3,10.8,26.8,166.7,51.7,31,118.9,105,Forest,Carnivore,Invertivore,Insessorial,NA,NA,3.742062943,-1.167766113,LC,631,7.24E+12,93.20031345,21.2660351,Oriental,1,0,0.000752174,3.460107335,-0.809310796,0.012685073,1,-0.754820032,0.092484214,3.138041503,0.334513021
Coracina melas,Campephagidae,24.9,14.2,7.4,7.1,23.2,119,24.3,20.4,88.7,59.4,Forest,Carnivore,Invertivore,Insessorial,13.6,NA,4.611047645,-2.316639988,LC,106,1.30E+12,140.1044225,-5.245878847,Oceanina,1,0,0.000457833,1.037718955,-1.917536049,-1.871190735,1,-2.073391764,-1.866838577,7.145236145,0.205127972
Coracina melaschistos,Campephagidae,21.4,11.9,6.6,6,22.5,117.9,33,28,95.7,43,Forest,Carnivore,Invertivore,Insessorial,NA,NA,4.360855576,-0.775138565,NA,729,8.09E+12,100.6341089,25.60704058,Oriental,7,0.000337014,0.000794235,5.984391908,-0.431373837,0.167529766,4,-0.391709047,0.287760794,4.279590714,0.247348298
Coracina schisticeps,Campephagidae,22.4,13.5,6.8,6.8,21.7,111,30.9,27.6,77.5,52.8,Forest,Herbivore,Frugivore,Insessorial,NA,13,4.369937666,-2.41826762,LC,51,6.25E+11,141.5780027,-5.050128076,Oceanina,2,5.38E-06,0.000459204,1.071040722,-1.886275572,-1.870024002,1,-2.039462308,-1.87071137,8.441842913,0.160368305
Coracina striata,Campephagidae,30.8,19.8,12.1,11.6,23.9,148.1,45.3,30.6,92.5,111,Forest,Carnivore,Invertivore,Insessorial,NA,NA,2.818129053,-2.299046709,LC,271,3.31E+12,111.7905999,4.180888208,Oriental,1,0,0.000618239,1.617140633,-1.316101214,-0.844541951,1,-1.357700176,-0.796647293,3.246811887,0.322721955
Corapipo altera,Pipridae,9.8,5.6,3.5,3.6,16.4,57.8,11,18.8,30.7,11.7,Forest,Herbivore,Frugivore,Insessorial,NA,7.1,7.610134973,-2.229051644,NA,37,4.48E+11,-81.55351075,9.78745699,Panamanian,1,0,0.000776268,11.3361356,-0.692558154,0.166916426,1,-0.616959606,0.227741095,3.456004028,0.334144053
Corvus brachyrhynchos,Corvidae,51.1,35.4,14.7,17.7,59.3,309.6,109.1,35.3,177.3,448.8,Human Modified,Omnivore,Omnivore,Terrestrial,38.2,NA,1.271353232,0.562116609,LC,1619,1.38E+13,-97.56463634,47.83368082,Nearctic,10,1.25E-05,0.000716215,7.724924921,-0.701655692,-0.277841429,1,-0.648834212,-0.2781812,2.103816604,0.578128513
Corvus corax,Corvidae,77,49.2,21.9,27.9,67.1,419.7,167.2,39.8,228.7,928,Forest,Omnivore,Omnivore,Terrestrial,46.1,NA,3.463167167,0.980588708,LC,8404,6.10E+13,81.32041851,56.78475719,Palearctic,5,0.000152398,0.000786326,7.098491358,-0.54117869,0.171328645,6,-0.477943731,0.257112611,2.567528729,0.425779872
Corvus corone,Corvidae,55,35.9,15.1,18.5,59.4,323.9,119.6,36.9,179.6,570,Human Modified,Carnivore,Omnivore,Terrestrial,35.2,NA,3.190597602,0.917360854,LC,5293,3.95E+13,79.8721985,56.37290126,Palearctic,19,0.000403176,0.000890246,21.47646203,0.292519531,0.690373171,9,0.428087557,0.723580799,3.267242107,0.337695942
Corvus enca,Corvidae,58,41.4,14.9,19.4,50.4,277.6,92.4,32.5,140.8,251,Forest,Omnivore,Omnivore,Insessorial,31.1,23.8,2.921098109,-2.233119248,LC,299,3.66E+12,113.9499997,1.912778242,Oriental,3,3.57E-06,0.000653123,2.28587721,-1.132745129,-0.634875841,1,-1.144543526,-0.591548717,3.51391984,0.392548588
Corvus kubaryi,Corvidae,55.2,37.7,13.3,18.3,52.5,226.4,63,27,157.6,249.9,Forest,Omnivore,Omnivore,Insessorial,NA,NA,0.007328336,-1.942009551,CR,3,35854270114,145.1671573,14.02345892,Oceanina,1,0,0.000714569,2.28688013,-0.953823453,-0.227995802,2,-0.926643487,-0.155006113,4.166244832,0.275717252
Corvus levaillantii,Corvidae,62,42.3,17.4,21.9,57,318.6,111.2,34.8,182.9,513.1,Woodland,Omnivore,Omnivore,Generalist,NA,NA,7.359079956,-0.911567864,NA,473,5.36E+12,87.84318392,22.95464087,Oriental,7,1.96E-06,0.000701197,3.753086991,-0.848278837,-0.35241478,2,-0.814211391,-0.326768522,3.143014199,0.401207827
Corvus macrorhynchos,Corvidae,62,42.3,17.4,21.9,57,318.6,111.2,34.8,182.9,513.1,Woodland,Omnivore,Omnivore,Generalist,NA,NA,3.780075445,-0.340905803,LC,1402,1.46E+13,116.5028429,33.64439945,Sino-Japanese,13,0.00032262,0.00085127,15.51844383,-0.038351763,0.497451653,2,0.065318807,0.560168528,4.185082262,0.271020144
Corvus splendens,Corvidae,49.7,31.5,13.9,16.7,45.9,258.2,93.8,36.3,151.9,292.6,Human Modified,Omnivore,Omnivore,Terrestrial,NA,NA,3.099823214,-0.994031505,LC,589,6.68E+12,81.38755827,22.8299667,Oriental,14,0.000267629,0.000855156,24.15820913,0.020385271,0.528347892,2,0.143977121,0.544933592,4.104577273,0.330666304
Coryphospingus cucullatus,Thraupidae,13.6,8.2,4.6,6.2,18.8,63.8,7.2,11.2,61.1,14.3,Shrubland,Herbivore,Omnivore,Generalist,NA,6.5,1.014379482,-1.037023255,LC,507,5.78E+12,-56.48759977,-23.41638935,Neotropical,12,0.000104713,0.000887708,160.377531,0.523938473,0.786600167,5,0.764295274,0.342521651,6.706226927,0.155699273
Coryphospingus pileatus,Thraupidae,12,9.2,4.6,6.7,17.1,63.7,11.7,18.4,57.3,15.3,Shrubland,Omnivore,Omnivore,Terrestrial,NA,NA,0.287857843,-1.204448228,LC,310,3.73E+12,-44.5088603,-12.10988708,Neotropical,2,1.08E-06,0.00078724,29.04181733,-0.566279447,0.230552196,1,-0.471447146,0.230197052,6.706226927,0.155699273
Corythaeola cristata,Musophagidae,38.8,18.8,9.3,18.4,54.2,321.4,36.5,11.2,366.8,965,Forest,Herbivore,Frugivore,Insessorial,NA,21.6,0.960052653,-1.494817772,LC,397,4.87E+12,18.58719286,0.991183439,Afrotropical,23,0.000384159,0.000718798,3.036443939,-0.314117657,-0.428298926,7,-0.295529048,-0.413671731,53.84660053,0.018851528
Corythopis delalandi,Tyrannidae,15.4,8.9,3.8,3.3,23.3,64.4,8.6,13.4,49.4,15,Forest,Carnivore,Invertivore,Terrestrial,NA,NA,0.234319853,-1.117462822,LC,252,2.92E+12,-50.82890898,-19.50784787,Neotropical,1,0,0.000620685,2.129521298,-1.305222562,-0.828885495,1,-1.344824178,-0.781976363,13.9577668,0.074203595
Cossypha caffra,Muscicapidae,18.8,10,3.6,4,29.1,80.8,11.8,14.6,74.6,28.5,Forest,Carnivore,Invertivore,Generalist,NA,NA,0.356540442,-0.519569479,NA,250,2.85E+12,24.85117211,-29.29591617,Afrotropical,6,0.000644876,0.000883159,9.691017279,-0.054876622,0.673671232,3,-0.00945665,0.882891078,7.451047035,0.148099574
Cossypha dichroa,Muscicapidae,19.3,10.9,4.3,5.2,30.2,97,16.5,17.1,82.6,45.8,Forest,Carnivore,Invertivore,Insessorial,NA,NA,0.090672532,-0.413785102,LC,48,5.17E+11,28.74954949,-29.33836322,Afrotropical,3,4.66E-06,0.000685995,1.52952609,-1.01226057,-0.424730763,2,-1.001287024,-0.369369343,8.198475995,0.141503031
Cossypha heuglini,Muscicapidae,19.5,10.3,4,4.5,29.8,95.4,14.5,15.3,85.5,34.8,Riverine,Carnivore,Invertivore,Terrestrial,NA,NA,0.195185011,-0.929296373,LC,685,8.25E+12,29.06743209,-9.10010383,Afrotropical,1,0,0.000657992,1.166737441,-1.169063902,-0.590112633,1,-1.182647889,-0.529481184,5.412073964,0.201543469
Cossypha natalensis,Muscicapidae,18.2,10.5,4.3,4.5,27,91.1,14.5,16,74.7,34.1,Woodland,Carnivore,Invertivore,Terrestrial,NA,NA,0.203180535,-0.917693133,LC,454,5.45E+12,29.55795693,-10.96151776,Afrotropical,1,0,0.000663821,1.211847484,-1.147126001,-0.552803823,2,-1.156545678,-0.49066882,5.778059874,0.197555337
Cossypha niveicapilla,Muscicapidae,20.5,11,4.4,4.8,28.6,97.8,17.6,17.9,92.4,36.7,Woodland,Carnivore,Invertivore,Generalist,17,NA,0.532942602,-1.244707096,LC,558,6.78E+12,2.411565367,9.908796025,Afrotropical,1,0,0.000657992,1.166737441,-1.169063902,-0.590112633,1,-1.182647889,-0.529481184,8.1026887,0.127468307
Cossypha polioptera,Muscicapidae,16.8,8.8,4.6,4.1,24.5,78.8,11.5,14.5,62.9,18.7,Shrubland,Carnivore,Invertivore,Terrestrial,NA,NA,0.705467476,-1.202303176,NA,106,1.30E+12,31.78479739,-0.07327832,Afrotropical,1,0,0.000485104,1.034101515,-1.815629025,-1.696644634,1,-1.952111035,-1.684555022,6.807631057,0.15533001
Cotinga amabilis,Cotingidae,17.9,9.4,5.3,5.4,21.6,108.3,25.9,24,70.2,71.5,Forest,Herbivore,Frugivore,Insessorial,NA,13.1,1.615181756,-1.659936228,LC,51,6.06E+11,-88.83616627,15.16722731,Panamanian,1,0,0.000726662,5.031609181,-0.899322799,-0.150590862,1,-0.86216094,-0.083166547,7.693143755,0.18249486
Cranioleuca erythrops,Furnariidae,14.6,9.5,3.2,3.7,18.6,64.8,11,16.6,71.4,16.9,Forest,Carnivore,Invertivore,Insessorial,14.4,NA,7.503523806,-1.931706569,LC,32,3.91E+11,-77.79748222,1.646779174,Neotropical,1,0,0.000770438,9.509802214,-0.720536332,0.129602611,1,-0.650004407,0.194758578,1.318203526,0.831791582
Cranioleuca pallida,Furnariidae,15.5,8.7,2.6,3.4,16.6,61.2,10.4,17,63.2,11.5,Forest,Carnivore,Invertivore,Insessorial,14.1,NA,0.212669483,-1.058577294,LC,82,9.52E+11,-44.68593792,-19.54296857,Neotropical,1,0,0.000728034,5.29848585,-0.893291933,-0.141811599,1,-0.855020421,-0.07487296,1.119189376,1.366910491
Crax alector,Cracidae,56.7,24.9,13.7,23.1,113.5,395,20.3,5.3,359.8,2872,Forest,Herbivore,Frugivore,Terrestrial,NA,27.1,0.997439191,-2.051637997,VU,209,2.57E+12,-61.54376078,2.781059089,Neotropical,47,8.91E-05,0.000840846,49.16644851,0.844905692,0.265935029,1,1.091879144,-0.059276168,2.404487973,0.437284102
Crax fasciolata,Cracidae,48.2,21.6,11.9,21.6,100.5,354.9,32.5,8.9,346.2,2600,Forest,Herbivore,Frugivore,Terrestrial,NA,23.3,0.748792371,-1.330461184,VU,370,4.38E+12,-53.32148356,-14.96009293,Neotropical,7,1.14E-07,0.00076118,6.946696626,-0.61361803,0.031924764,1,-0.534976191,0.06368507,2.404487973,0.437284102
Creurgops verticalis,Thraupidae,19.8,9.2,5.5,6.4,19.3,77.7,14.5,18.6,68.8,24,Forest,Carnivore,Invertivore,Insessorial,13.4,NA,3.86539821,-1.378525841,LC,34,4.16E+11,-77.00833262,-4.42799613,Neotropical,4,7.59E-07,0.000790669,13.5893083,-0.555861894,0.239730995,2,-0.461026334,0.277828338,8.181909645,0.127679114
Crinifer piscator,Musophagidae,29.6,18.4,12.2,15.8,41.9,224,44.3,19.7,227,370,Woodland,Herbivore,Frugivore,Insessorial,NA,21.1,0.487750301,-1.239632518,LC,372,4.51E+12,2.370691524,10.11967619,Afrotropical,5,2.73E-05,0.000718113,2.324840392,-0.835307621,-0.237063049,1,-0.799939343,-0.183171954,26.68813382,0.039078219
Crotophaga ani,Cuculidae,30.6,18.4,9.9,21.1,35.8,144,35.5,24.8,180.6,110.1,Human Modified,Carnivore,Omnivore,Insessorial,NA,NA,2.372224957,-1.467994677,LC,1387,1.65E+13,-58.56969185,-9.791242172,Neotropical,15,0.001014977,0.000909676,31.00864735,0.409877678,0.70242458,4,0.440864986,0.873972334,23.33976042,0.043283795
Crotophaga major,Cuculidae,47.2,32.8,13.7,21.5,41,193.6,46,23.7,252.2,148.3,Forest,Omnivore,Omnivore,Insessorial,NA,NA,2.209650755,-1.559812052,LC,1134,1.36E+13,-57.70408915,-8.428314953,Neotropical,1,0,0.000685058,3.952516742,-1.058466678,-0.416875471,1,-1.05141011,-0.357702232,34.12331121,0.029580536
Cuculus clamosus,Cuculidae,29.1,15.3,8.1,9.9,33,181,82.6,44.2,157,78.8,Forest,Carnivore,Invertivore,Insessorial,NA,NA,0.5150073,-1.03508138,LC,1328,1.59E+13,21.64173172,-3.966766237,Afrotropical,1,0,0.00066325,1.219655887,-1.1492353,-0.556461516,1,-1.159057046,-0.494513985,18.25419669,0.057327235
Cuculus varius,Cuculidae,26.1,14.9,7.7,7.6,23.5,191,66.8,35,161.4,103,Woodland,Carnivore,Invertivore,Insessorial,NA,NA,2.613014348,-1.189868228,LC,336,3.84E+12,81.17832513,21.6386936,Oriental,1,0,0.000700968,1.452367817,-1.007484853,-0.31505174,1,-0.990391032,-0.243181481,9.471259645,0.109297525
Curaeus curaeus,Icteridae,31.8,20.7,6.8,9.7,33.8,124.5,25.8,20.8,102,83.7,Forest,Carnivore,Omnivore,Terrestrial,22.5,NA,1.92994996,-0.033762012,LC,178,1.57E+12,-70.79559683,-45.37607384,Neotropical,5,0.000314856,0.000740835,3.431101912,-0.693738323,-0.156461865,3,-0.694565442,-0.034925055,4.084970641,0.256972801
Cyanerpes caeruleus,Thraupidae,19.5,14.7,3.4,3.3,13.8,56.7,14.4,25.5,32.1,12,Forest,Omnivore,Omnivore,Insessorial,10.6,NA,2.317362901,-1.886907602,LC,659,8.05E+12,-64.08911697,-2.272408759,Neotropical,33,0.001141283,0.000944172,213.4710305,1.631338978,0.780070943,5,1.804049704,0.274580186,6.354243036,0.166708731
Cyanerpes cyaneus,Thraupidae,19.4,12.8,3.8,3.6,13.7,60.9,15.7,26,34.8,14,Forest,Omnivore,Omnivore,Insessorial,10.7,NA,2.086294806,-1.749941059,LC,886,1.07E+13,-66.01790294,-0.469765534,Neotropical,30,0.00110504,0.000987971,388.056167,2.305296423,1.088254734,9,2.596227894,0.03469971,9.071549057,0.114984087
Cyanerpes lucidus,Thraupidae,21.9,15,3.4,3.4,13.1,57,13.9,24.3,30.2,11.4,Forest,Herbivore,Omnivore,Insessorial,NA,NA,1.737578771,-1.935251624,LC,49,5.89E+11,-84.23383877,12.21635799,Panamanian,5,0.000128768,0.000846332,57.53332113,-0.15024016,0.560857726,1,-0.014477001,0.493101047,6.026350028,0.17316292
Cyanerpes nitidus,Thraupidae,13.6,9,2.7,2.8,12,50,11.1,22.2,27,9,Forest,Omnivore,Frugivore,Insessorial,NA,5,2.497955936,-2.057472791,LC,272,3.33E+12,-66.50295796,-2.709780424,Neotropical,1,0,0.000778325,16.11829383,-0.668652656,0.180097634,1,-0.589169925,0.225839941,6.164172614,0.172205729
Cyanocitta cristata,Corvidae,29.9,18.6,10.1,8.9,34.7,130,22.9,17.4,121.4,88,Woodland,Omnivore,Omnivore,Terrestrial,20.5,NA,0.511276922,0.381841594,LC,931,8.33E+12,-91.31827724,44.39352848,Nearctic,2,0,0.000668096,1.897282403,-1.103794578,-0.531840531,1,-1.107162153,-0.477272333,10.89530512,0.094777108
Cyanocitta stelleri,Corvidae,33.7,21.1,10.2,9.5,43,145.8,20,13.6,133.2,128,Forest,Omnivore,Omnivore,Insessorial,NA,NA,0.83743544,0.107636688,LC,539,4.95E+12,-118.9918777,45.1791542,Nearctic,4,0,0.000712672,6.065795915,-0.873005287,-0.259323797,1,-0.837255614,-0.218847777,10.89530512,0.094777108
Cyanocompsa brissonii,Cardinalidae,15.2,11.4,7.7,11.6,20.1,75.6,11.4,14.8,69.9,27.5,Forest,Herbivore,Frugivore,Insessorial,NA,10.2,0.581151128,-0.991181287,LC,596,6.87E+12,-52.12708569,-20.39543145,Neotropical,3,3.94E-05,0.000860505,61.94979522,-0.148801821,0.68453001,2,0.010375083,0.599234043,6.283675855,0.163623623
Cyanocorax affinis,Corvidae,38.4,23.1,12.2,13.5,50.1,167.8,17.1,10.2,160,212,Forest,Omnivore,Frugivore,Insessorial,NA,19,5.813697615,-1.834371506,LC,69,8.39E+11,-75.17323314,8.706065121,Neotropical,2,5.19E-06,0.000808408,14.61012638,-0.53535408,0.365067746,1,-0.433548487,0.418909488,2.645091041,0.391612585
Cyanocorax caeruleus,Corvidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.464404444,-0.964211134,NA,70,7.65E+11,-52.14214295,-27.63750779,Neotropical,8,2.33E-05,0.000840389,110.5740971,0.063101351,0.527555779,2,0.248920518,0.240985169,5.132447588,0.202516563
Cyanocorax chrysops,Corvidae,36,22.6,10.9,12.7,47.5,155.1,15.6,10.1,163.5,166,Forest,Carnivore,Invertivore,Insessorial,NA,NA,0.649888635,-1.03142264,LC,310,3.54E+12,-57.69096786,-22.68109322,Neotropical,16,7.13E-05,0.000847818,160.1753609,0.468154144,0.51323182,8,0.696886462,0.024851502,2.63498684,0.3966175
Cyanocorax cristatellus,Corvidae,38.2,24.2,12.5,14.7,47.1,194.6,39.8,20.4,137.4,178,Woodland,Omnivore,Omnivore,Insessorial,31.2,NA,0.3054814,-1.225547388,LC,283,3.36E+12,-50.39468474,-15.30406374,Neotropical,11,1.07E-05,0.000804499,89.05748139,-0.071200822,0.281420897,6,0.088528771,0.032744092,3.168718454,0.332057766
Cyanocorax cyanomelas,Corvidae,38.2,22.6,12.1,14.2,47.5,187.6,28.2,15,162.6,207,Woodland,Omnivore,Omnivore,Insessorial,24.9,NA,0.903299741,-1.083632038,LC,179,2.08E+12,-60.00831857,-19.53853607,Neotropical,9,6.16E-05,0.000822444,70.96325999,-0.106200161,0.397548501,2,0.042417887,0.237762784,2.931693923,0.373057521
