Scientific,PC1,PC2,PC3,deg.degree_z,bet.betweenness_z,clos.closeness_z,katzz.Katz_z,Family1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Hand.Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Toe,Gape_size_mcf,NicheBreadth,NichePosition,IUCN,RangeSize_Cells,RangeSize_Meters,MidPoint_Long,MidPoint_Lat,Realm,Nwebs,ED,DR,database,lat,lon
Mimus saturninus,-1.296146737,-0.542262619,0.035913373,-1.005322264,-0.625543242,-0.240630625,-0.952238903,Mimidae,25.1,13.5,5.3,6.4,34.2,114.7,22.4,19.5,123.2,63.7,Shrubland,Omnivore,Omnivore,Terrestrial,24.4,NA,1.015574121,-0.961284196,LC,723,8.25E+12,-53.2920073,-21.63682193,Neotropical,13,4.15491003,0.247589222,1-Bastazini 2018,-30.416667,-52.366667
Myiodynastes maculatus,-2.669314847,1.138557148,0.000222175,-1.005322264,-0.625543242,-2.379569514,-1.322320028,Tyrannidae,25.6,18.4,10.5,8.4,19.5,107.9,21.8,20.3,79,43.2,Forest,Carnivore,Invertivore,Insessorial,14.3,NA,2.64337431,-1.447844913,LC,1407,1.67E+13,-60.40532935,-9.459310712,Neotropical,34,5.006093423,0.226547095,1-Bastazini 2018,-30.416667,-52.366667
Stephanophorus diadematus,1.687692184,0.238766123,-0.089607206,1.05101873,0.034752402,0.695155139,1.151287358,Thraupidae,14.1,8.7,6.4,7.5,23.2,98.2,20.4,20.8,81.2,35.4,Forest,Herbivore,Frugivore,Insessorial,NA,9.9,0.74709364,-0.818913515,LC,134,1.45E+12,-53.42585658,-28.78147904,Neotropical,6,8.15491827,0.144656895,1-Bastazini 2018,-30.416667,-52.366667
Tangara preciosa,0.726692758,-0.393273466,-0.148838364,0.1370894,0.034752402,0.695155139,0.450405452,Thraupidae,14.8,8,4.8,5.1,19.9,77.8,16.4,21.1,56.2,22.8,Forest,Omnivore,Frugivore,Insessorial,NA,7.4,0.674228066,-0.843263759,LC,131,1.42E+12,-53.97779738,-28.71331031,Neotropical,3,5.050553192,0.20884052,1-Bastazini 2018,-30.416667,-52.366667
Thraupis bonariensis,0.478222575,-0.074277082,-0.166712553,0.1370894,-0.486533633,0.294104097,0.395874056,Thraupidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,0.354610323,-0.470082963,NA,387,4.22E+12,-63.05817658,-27.74893986,Neotropical,8,9.687566634,0.107160439,1-Bastazini 2018,-30.416667,-52.366667
Thraupis sayaca,0.016173462,-0.382418114,-0.219255121,-0.319875266,-0.486533633,0.294104097,0.075898597,Thraupidae,15.5,9.2,6.5,7.2,19.6,90.3,21.1,23.5,66,32.5,Forest,Herbivore,Omnivore,Insessorial,NA,9.3,0.727741794,-1.038092732,LC,655,7.58E+12,-52.46411609,-19.08960575,Neotropical,49,2.978861528,0.353410243,1-Bastazini 2018,-30.416667,-52.366667
Turdus albicollis,-1.786834312,0.098400211,-0.007604814,-1.005322264,-0.625543242,-1.042732708,-1.050977135,Turdidae,22.7,11,4.8,6,29.6,110.3,23.7,21.3,88.7,54,Forest,Omnivore,Invertivore,Generalist,22.6,NA,2.585074345,-1.653555682,LC,800,9.60E+12,-64.18211443,-2.844354269,Neotropical,31,5.493671216,0.191554993,1-Bastazini 2018,-30.416667,-52.366667
Turdus amaurochalinus,1.419217,0.124122037,0.244004028,1.05101873,0.034752402,0.695155139,0.707983122,Turdidae,24.2,13,5,6.2,32.1,116.1,27.3,23.4,95.7,57.9,Forest,Omnivore,Invertivore,Insessorial,NA,10.8,1.237331591,-1.051119726,LC,803,9.29E+12,-54.02016637,-18.89478552,Neotropical,35,3.734143834,0.277619447,1-Bastazini 2018,-30.416667,-52.366667
Turdus rufiventris,2.286877913,0.660885707,0.105873189,1.736465728,0.034752402,0.695155139,1.476223475,Turdidae,25.2,14.6,5.3,6.7,33.4,115.5,20.1,17.4,101.5,69.4,Forest,Omnivore,Invertivore,Generalist,NA,12,0.536568021,-0.951229519,LC,516,5.92E+12,-51.13867539,-20.62934148,Neotropical,42,4.54422675,0.229919834,1-Bastazini 2018,-30.416667,-52.366667
Vireo olivaceus,-0.862579996,-0.868499945,0.246005294,-0.776839931,2.710687383,0.294104097,-0.932135993,Vireonidae,14,9.2,4.4,4.3,18.3,68,14.1,20.9,52.1,16.1,Forest,Omnivore,Invertivore,Insessorial,10.9,NA,6.899358838,-0.55626466,LC,2754,2.86E+13,-81.39042982,25.02264854,Nearctic,40,4.037235949,0.300660905,1-Bastazini 2018,-30.416667,-52.366667
