Scientific,PC1,PC2,PC3,deg.degree_z,bet.betweenness_z,clos.closeness_z,katzz.Katz_z,Family1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Hand.Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Toe,Gape_size_mcf,NicheBreadth,NichePosition,IUCN,RangeSize_Cells,RangeSize_Meters,MidPoint_Long,MidPoint_Lat,Realm,Nwebs,ED,DR,database,lat,lon
Erithacus rubecula,-1.533488183,-0.362406306,-1.11E-16,-0.447213595,0,-1.095445115,-1.040636506,Muscicapidae,14,7,2.9,3.3,24.5,71.6,14.2,19.9,56.9,17.7,Forest,Carnivore,Omnivore,Generalist,14.3,NA,0.549256073,0.444044802,LC,2178,1.71E+13,29.78227269,53.37925815,Palearctic,79,15.11535306,0.071639552,102_2011_fruit_removal_net,52.70307,23.653528
Parus palustris,0.493826356,0.825801338,1.11E-16,-0.447213595,0,0.730296743,0.438724272,Paridae,9.4,6.7,3.3,4.1,15.9,64,11.4,17.9,54.8,11.1,Forest,Omnivore,Invertivore,Insessorial,NA,NA,1.329096394,0.607551834,NA,1496,1.21E+13,20.97917081,51.6695485,Palearctic,47,9.499558194,0.111862846,102_2011_fruit_removal_net,52.70307,23.653528
Sylvia atricapilla,-1.533488183,-0.362406306,-1.11E-16,-0.447213595,0,-1.095445115,-1.040636506,Sylviidae,15.2,7.2,3.2,3.4,20.8,75.9,20.5,27,62.2,16.7,Woodland,Omnivore,Omnivore,Insessorial,13.6,NA,2.422965045,0.060701022,LC,2998,2.78E+13,24.45212678,47.01415534,Palearctic,85,13.44927879,0.077912271,102_2011_fruit_removal_net,52.70307,23.653528
Turdus merula,2.079323655,-0.926790065,1.11E-16,1.788854382,0,0.730296743,1.203824469,Turdidae,28.5,15.5,5.3,7.5,33.6,128.4,29.8,23.1,106.3,102.7,Forest,Omnivore,Omnivore,Generalist,NA,NA,1.22701294,0.171107025,LC,2790,2.49E+13,27.69777951,49.63903324,Palearctic,97,8.885738317,0.116686515,102_2011_fruit_removal_net,52.70307,23.653528
Turdus philomelos,0.493826356,0.825801338,1.11E-16,-0.447213595,0,0.730296743,0.438724272,Turdidae,23.1,11.9,5,5.7,31.8,116,35.7,30.7,81.7,67.7,Forest,Omnivore,Invertivore,Generalist,NA,NA,1.531042733,0.57972099,LC,2997,2.32E+13,42.82507453,54.28037594,Palearctic,80,13.83200364,0.075404385,102_2011_fruit_removal_net,52.70307,23.653528
Erithacus rubecula,-1.533488183,-0.362406306,-1.11E-16,-0.447213595,0,-1.095445115,-1.040636506,Muscicapidae,14,7,2.9,3.3,24.5,71.6,14.2,19.9,56.9,17.7,Forest,Carnivore,Omnivore,Generalist,14.3,NA,0.549256073,0.444044802,LC,2178,1.71E+13,29.78227269,53.37925815,Palearctic,79,15.11535306,0.071639552,102_2011_seed_removal_net,52.70307,23.653528
Parus palustris,0.493826356,0.825801338,1.11E-16,-0.447213595,0,0.730296743,0.438724272,Paridae,9.4,6.7,3.3,4.1,15.9,64,11.4,17.9,54.8,11.1,Forest,Omnivore,Invertivore,Insessorial,NA,NA,1.329096394,0.607551834,NA,1496,1.21E+13,20.97917081,51.6695485,Palearctic,47,9.499558194,0.111862846,102_2011_seed_removal_net,52.70307,23.653528
Sylvia atricapilla,-1.533488183,-0.362406306,-1.11E-16,-0.447213595,0,-1.095445115,-1.040636506,Sylviidae,15.2,7.2,3.2,3.4,20.8,75.9,20.5,27,62.2,16.7,Woodland,Omnivore,Omnivore,Insessorial,13.6,NA,2.422965045,0.060701022,LC,2998,2.78E+13,24.45212678,47.01415534,Palearctic,85,13.44927879,0.077912271,102_2011_seed_removal_net,52.70307,23.653528
Turdus merula,2.079323655,-0.926790065,1.11E-16,1.788854382,0,0.730296743,1.203824469,Turdidae,28.5,15.5,5.3,7.5,33.6,128.4,29.8,23.1,106.3,102.7,Forest,Omnivore,Omnivore,Generalist,NA,NA,1.22701294,0.171107025,LC,2790,2.49E+13,27.69777951,49.63903324,Palearctic,97,8.885738317,0.116686515,102_2011_seed_removal_net,52.70307,23.653528
Turdus philomelos,0.493826356,0.825801338,1.11E-16,-0.447213595,0,0.730296743,0.438724272,Turdidae,23.1,11.9,5,5.7,31.8,116,35.7,30.7,81.7,67.7,Forest,Omnivore,Invertivore,Generalist,NA,NA,1.531042733,0.57972099,LC,2997,2.32E+13,42.82507453,54.28037594,Palearctic,80,13.83200364,0.075404385,102_2011_seed_removal_net,52.70307,23.653528
Coccothraustes coccothraustes,-0.180794457,-0.632410264,-0.039353956,-0.433012702,-0.270541625,0.42694084,-0.253770823,Fringillidae,23,16.6,12,15,21,102,33.6,32.9,57.2,56.6,Forest,Herbivore,Omnivore,Insessorial,20.1,NA,1.393704171,0.568497647,LC,2511,2.09E+13,55.7834523,49.69075585,Palearctic,30,12.10599539,0.090135592,102_2012_fruit_removal_net,52.70307,23.653528
Dryocopus martius,-2.375378077,1.159085675,-0.026492005,-0.866025404,-0.811624876,-2.241439411,-1.101159301,Picidae,65.6,46.8,15.4,13.2,35.6,237.8,63,26.4,175.8,321,Forest,Carnivore,Invertivore,Insessorial,NA,NA,2.480488505,1.072730778,LC,3343,2.31E+13,83.90511424,58.51457963,Palearctic,5,4.953844759,0.226370498,102_2012_fruit_removal_net,52.70307,23.653528
Erithacus rubecula,2.562164094,0.486721899,-0.014493073,1.732050808,1.683370114,0.96061689,1.696764064,Muscicapidae,14,7,2.9,3.3,24.5,71.6,14.2,19.9,56.9,17.7,Forest,Carnivore,Omnivore,Generalist,14.3,NA,0.549256073,0.444044802,LC,2178,1.71E+13,29.78227269,53.37925815,Palearctic,79,15.11535306,0.071639552,102_2012_fruit_removal_net,52.70307,23.653528
Ficedula hypoleuca,-1.064179348,-0.54774664,0.033162061,-0.866025404,-0.811624876,-0.10673521,-0.819884983,Muscicapidae,12.8,6.5,4.1,3.2,17.6,79.3,24.2,30.4,52.1,13.8,Forest,Carnivore,Invertivore,Insessorial,NA,NA,3.258861229,0.059100204,LC,2824,2.57E+13,25.8812981,47.26880861,Palearctic,36,3.126858681,0.340096489,102_2012_fruit_removal_net,52.70307,23.653528
Muscicapa striata,-1.72323938,0.304101372,0.007600153,-0.866025404,-0.811624876,-1.17408731,-0.966234111,Muscicapidae,16.2,9.3,4.3,3.6,14.4,86.3,26.1,30.2,61.2,15.9,Forest,Carnivore,Invertivore,Insessorial,NA,NA,1.793659145,0.073840253,LC,4936,4.64E+13,35.94826194,39.69856421,Palearctic,21,5.599533734,0.197703949,102_2012_fruit_removal_net,52.70307,23.653528
Parus major,-0.580223443,-0.238159837,0.034012581,-0.433012702,-0.811624876,-0.10673521,-0.442316405,Paridae,11.3,8,4,4.3,17.4,70.9,13.3,18.7,61.2,16.3,Woodland,Omnivore,Invertivore,Insessorial,NA,NA,4.519000871,0.428053848,LC,5257,4.56E+13,68.18034022,48.28588146,Palearctic,52,9.341920709,0.114665511,102_2012_fruit_removal_net,52.70307,23.653528
Parus palustris,-0.180794457,-0.632410264,-0.039353956,-0.433012702,-0.270541625,0.42694084,-0.253770823,Paridae,9.4,6.7,3.3,4.1,15.9,64,11.4,17.9,54.8,11.1,Forest,Omnivore,Invertivore,Insessorial,NA,NA,1.329096394,0.607551834,NA,1496,1.21E+13,20.97917081,51.6695485,Palearctic,47,9.499558194,0.111862846,102_2012_fruit_removal_net,52.70307,23.653528
Sylvia atricapilla,2.562164094,0.486721899,-0.014493073,1.732050808,1.683370114,0.96061689,1.696764064,Sylviidae,15.2,7.2,3.2,3.4,20.8,75.9,20.5,27,62.2,16.7,Woodland,Omnivore,Omnivore,Insessorial,13.6,NA,2.422965045,0.060701022,LC,2998,2.78E+13,24.45212678,47.01415534,Palearctic,85,13.44927879,0.077912271,102_2012_fruit_removal_net,52.70307,23.653528
Turdus merula,0.60581745,-0.095389753,0.185791463,0.433012702,0.691384154,0.42694084,0.20212366,Turdidae,28.5,15.5,5.3,7.5,33.6,128.4,29.8,23.1,106.3,102.7,Forest,Omnivore,Omnivore,Generalist,NA,NA,1.22701294,0.171107025,LC,2790,2.49E+13,27.69777951,49.63903324,Palearctic,97,8.885738317,0.116686515,102_2012_fruit_removal_net,52.70307,23.653528
Turdus philomelos,0.374463525,-0.290514086,-0.126380196,0,-0.270541625,0.42694084,0.241484656,Turdidae,23.1,11.9,5,5.7,31.8,116,35.7,30.7,81.7,67.7,Forest,Omnivore,Invertivore,Generalist,NA,NA,1.531042733,0.57972099,LC,2997,2.32E+13,42.82507453,54.28037594,Palearctic,80,13.83200364,0.075404385,102_2012_fruit_removal_net,52.70307,23.653528
Coccothraustes coccothraustes,-0.180794457,-0.632410264,-0.039353956,-0.433012702,-0.270541625,0.42694084,-0.253770823,Fringillidae,23,16.6,12,15,21,102,33.6,32.9,57.2,56.6,Forest,Herbivore,Omnivore,Insessorial,20.1,NA,1.393704171,0.568497647,LC,2511,2.09E+13,55.7834523,49.69075585,Palearctic,30,12.10599539,0.090135592,102_2012_seed_removal_net,52.70307,23.653528
Dryocopus martius,-2.375378077,1.159085675,-0.026492005,-0.866025404,-0.811624876,-2.241439411,-1.101159301,Picidae,65.6,46.8,15.4,13.2,35.6,237.8,63,26.4,175.8,321,Forest,Carnivore,Invertivore,Insessorial,NA,NA,2.480488505,1.072730778,LC,3343,2.31E+13,83.90511424,58.51457963,Palearctic,5,4.953844759,0.226370498,102_2012_seed_removal_net,52.70307,23.653528
Erithacus rubecula,2.562164094,0.486721899,-0.014493073,1.732050808,1.683370114,0.96061689,1.696764064,Muscicapidae,14,7,2.9,3.3,24.5,71.6,14.2,19.9,56.9,17.7,Forest,Carnivore,Omnivore,Generalist,14.3,NA,0.549256073,0.444044802,LC,2178,1.71E+13,29.78227269,53.37925815,Palearctic,79,15.11535306,0.071639552,102_2012_seed_removal_net,52.70307,23.653528
Ficedula hypoleuca,-1.064179348,-0.54774664,0.033162061,-0.866025404,-0.811624876,-0.10673521,-0.819884983,Muscicapidae,12.8,6.5,4.1,3.2,17.6,79.3,24.2,30.4,52.1,13.8,Forest,Carnivore,Invertivore,Insessorial,NA,NA,3.258861229,0.059100204,LC,2824,2.57E+13,25.8812981,47.26880861,Palearctic,36,3.126858681,0.340096489,102_2012_seed_removal_net,52.70307,23.653528
Muscicapa striata,-1.72323938,0.304101372,0.007600153,-0.866025404,-0.811624876,-1.17408731,-0.966234111,Muscicapidae,16.2,9.3,4.3,3.6,14.4,86.3,26.1,30.2,61.2,15.9,Forest,Carnivore,Invertivore,Insessorial,NA,NA,1.793659145,0.073840253,LC,4936,4.64E+13,35.94826194,39.69856421,Palearctic,21,5.599533734,0.197703949,102_2012_seed_removal_net,52.70307,23.653528
Parus major,-0.580223443,-0.238159837,0.034012581,-0.433012702,-0.811624876,-0.10673521,-0.442316405,Paridae,11.3,8,4,4.3,17.4,70.9,13.3,18.7,61.2,16.3,Woodland,Omnivore,Invertivore,Insessorial,NA,NA,4.519000871,0.428053848,LC,5257,4.56E+13,68.18034022,48.28588146,Palearctic,52,9.341920709,0.114665511,102_2012_seed_removal_net,52.70307,23.653528
Parus palustris,-0.180794457,-0.632410264,-0.039353956,-0.433012702,-0.270541625,0.42694084,-0.253770823,Paridae,9.4,6.7,3.3,4.1,15.9,64,11.4,17.9,54.8,11.1,Forest,Omnivore,Invertivore,Insessorial,NA,NA,1.329096394,0.607551834,NA,1496,1.21E+13,20.97917081,51.6695485,Palearctic,47,9.499558194,0.111862846,102_2012_seed_removal_net,52.70307,23.653528
Sylvia atricapilla,2.562164094,0.486721899,-0.014493073,1.732050808,1.683370114,0.96061689,1.696764064,Sylviidae,15.2,7.2,3.2,3.4,20.8,75.9,20.5,27,62.2,16.7,Woodland,Omnivore,Omnivore,Insessorial,13.6,NA,2.422965045,0.060701022,LC,2998,2.78E+13,24.45212678,47.01415534,Palearctic,85,13.44927879,0.077912271,102_2012_seed_removal_net,52.70307,23.653528
Turdus merula,0.60581745,-0.095389753,0.185791463,0.433012702,0.691384154,0.42694084,0.20212366,Turdidae,28.5,15.5,5.3,7.5,33.6,128.4,29.8,23.1,106.3,102.7,Forest,Omnivore,Omnivore,Generalist,NA,NA,1.22701294,0.171107025,LC,2790,2.49E+13,27.69777951,49.63903324,Palearctic,97,8.885738317,0.116686515,102_2012_seed_removal_net,52.70307,23.653528
Turdus philomelos,0.374463525,-0.290514086,-0.126380196,0,-0.270541625,0.42694084,0.241484656,Turdidae,23.1,11.9,5,5.7,31.8,116,35.7,30.7,81.7,67.7,Forest,Omnivore,Invertivore,Generalist,NA,NA,1.531042733,0.57972099,LC,2997,2.32E+13,42.82507453,54.28037594,Palearctic,80,13.83200364,0.075404385,102_2012_seed_removal_net,52.70307,23.653528
Dendrocopos major,-0.424433749,-0.598328328,0.008310548,-0.52861487,-0.307881371,0.263879698,-0.434906525,Picidae,27.9,21.8,9.3,8.7,23.9,136.2,40.8,29.3,88,74.9,Woodland,Omnivore,Omnivore,Insessorial,NA,NA,2.817373987,0.803215504,LC,3867,2.95E+13,74.86579296,54.63749551,Palearctic,23,2.492586057,0.453268328,11_2012_fruit_removal_net,52.845312,23.809758
Erithacus rubecula,0.26096283,1.020733219,-0.020700072,0.634337844,-0.503267626,-0.703679195,0.461386481,Muscicapidae,14,7,2.9,3.3,24.5,71.6,14.2,19.9,56.9,17.7,Forest,Carnivore,Omnivore,Generalist,14.3,NA,0.549256073,0.444044802,LC,2178,1.71E+13,29.78227269,53.37925815,Palearctic,79,15.11535306,0.071639552,11_2012_fruit_removal_net,52.845312,23.809758
Fringilla coelebs,-1.468634439,-0.122474874,-0.002725189,-0.916265775,-0.828911384,-0.703679195,-0.914979375,Fringillidae,14.7,9.8,5.5,6.7,17.8,85.9,23.7,27.6,65.9,23.8,Forest,Omnivore,Invertivore,Generalist,14.6,NA,1.09788846,0.506610003,LC,2506,1.95E+13,35.85724013,54.2306554,Palearctic,38,11.25258005,0.090228519,11_2012_fruit_removal_net,52.845312,23.809758
Garrulus glandarius,-1.47985948,-0.128409619,-0.01666153,-0.916265775,-0.828911384,-0.703679195,-0.933832606,Corvidae,33,19.9,9,11.6,39.1,181.1,35.4,19.4,150.2,159.5,Forest,Omnivore,Omnivore,Insessorial,24.6,NA,2.285682374,0.524990394,LC,3403,2.76E+13,63.14912631,51.30582377,Palearctic,34,10.29435357,0.105059545,11_2012_fruit_removal_net,52.845312,23.809758
Hippolais icterina,-2.043297432,0.658815882,0.027854149,-0.916265775,-0.828911384,-1.671238089,-0.988584287,Acrocephalidae,17.5,9.1,3.8,3.4,20.6,77.9,24,30.8,54.6,13.2,Woodland,Carnivore,Invertivore,Insessorial,10.1,NA,4.425416811,-0.237978424,LC,3245,3.29E+13,19.96574765,8.060844804,Afrotropical,7,7.226325827,0.153455052,11_2012_fruit_removal_net,52.845312,23.809758
Parus major,1.482174594,-0.503841862,0.007390345,0.634337844,1.472304506,1.231438592,0.729333436,Paridae,11.3,8,4,4.3,17.4,70.9,13.3,18.7,61.2,16.3,Woodland,Omnivore,Invertivore,Insessorial,NA,NA,4.519000871,0.428053848,LC,5257,4.56E+13,68.18034022,48.28588146,Palearctic,52,9.341920709,0.114665511,11_2012_fruit_removal_net,52.845312,23.809758
Parus palustris,-0.710393205,-0.206957545,0.025303661,-0.52861487,-0.568396378,-0.219899749,-0.469404543,Paridae,9.4,6.7,3.3,4.1,15.9,64,11.4,17.9,54.8,11.1,Forest,Omnivore,Invertivore,Insessorial,NA,NA,1.329096394,0.607551834,NA,1496,1.21E+13,20.97917081,51.6695485,Palearctic,47,9.499558194,0.111862846,11_2012_fruit_removal_net,52.845312,23.809758
Sylvia atricapilla,2.775300861,0.351411484,-0.011145978,1.797290559,1.472304506,1.231438592,1.754769152,Sylviidae,15.2,7.2,3.2,3.4,20.8,75.9,20.5,27,62.2,16.7,Woodland,Omnivore,Omnivore,Insessorial,13.6,NA,2.422965045,0.060701022,LC,2998,2.78E+13,24.45212678,47.01415534,Palearctic,85,13.44927879,0.077912271,11_2012_fruit_removal_net,52.845312,23.809758
Sylvia borin,-1.47985948,-0.128409619,-0.01666153,-0.916265775,-0.828911384,-0.703679195,-0.933832606,Sylviidae,15.1,7.2,3.5,3.6,20.1,78.7,23.6,30,57.9,18.2,Woodland,Omnivore,Omnivore,Insessorial,14,NA,3.611041333,-0.056587484,LC,5398,5.33E+13,31.71388488,38.25376116,Palearctic,63,11.31433395,0.09334886,11_2012_fruit_removal_net,52.845312,23.809758
Turdus merula,0.714923357,-0.424122833,-0.031824788,0.246686939,0.278277393,0.747659145,0.268625682,Turdidae,28.5,15.5,5.3,7.5,33.6,128.4,29.8,23.1,106.3,102.7,Forest,Omnivore,Omnivore,Generalist,NA,NA,1.22701294,0.171107025,LC,2790,2.49E+13,27.69777951,49.63903324,Palearctic,97,8.885738317,0.116686515,11_2012_fruit_removal_net,52.845312,23.809758
Turdus philomelos,2.373116142,0.081584095,0.030860384,1.409639654,1.472304506,1.231438592,1.461425191,Turdidae,23.1,11.9,5,5.7,31.8,116,35.7,30.7,81.7,67.7,Forest,Omnivore,Invertivore,Generalist,NA,NA,1.531042733,0.57972099,LC,2997,2.32E+13,42.82507453,54.28037594,Palearctic,80,13.83200364,0.075404385,11_2012_fruit_removal_net,52.845312,23.809758
Dendrocopos major,-0.424433749,-0.598328328,0.008310548,-0.52861487,-0.307881371,0.263879698,-0.434906525,Picidae,27.9,21.8,9.3,8.7,23.9,136.2,40.8,29.3,88,74.9,Woodland,Omnivore,Omnivore,Insessorial,NA,NA,2.817373987,0.803215504,LC,3867,2.95E+13,74.86579296,54.63749551,Palearctic,23,2.492586057,0.453268328,11_2012_seed_removal_net,52.845312,23.809758
Erithacus rubecula,0.26096283,1.020733219,-0.020700072,0.634337844,-0.503267626,-0.703679195,0.461386481,Muscicapidae,14,7,2.9,3.3,24.5,71.6,14.2,19.9,56.9,17.7,Forest,Carnivore,Omnivore,Generalist,14.3,NA,0.549256073,0.444044802,LC,2178,1.71E+13,29.78227269,53.37925815,Palearctic,79,15.11535306,0.071639552,11_2012_seed_removal_net,52.845312,23.809758
Fringilla coelebs,-1.468634439,-0.122474874,-0.002725189,-0.916265775,-0.828911384,-0.703679195,-0.914979375,Fringillidae,14.7,9.8,5.5,6.7,17.8,85.9,23.7,27.6,65.9,23.8,Forest,Omnivore,Invertivore,Generalist,14.6,NA,1.09788846,0.506610003,LC,2506,1.95E+13,35.85724013,54.2306554,Palearctic,38,11.25258005,0.090228519,11_2012_seed_removal_net,52.845312,23.809758
Garrulus glandarius,-1.47985948,-0.128409619,-0.01666153,-0.916265775,-0.828911384,-0.703679195,-0.933832606,Corvidae,33,19.9,9,11.6,39.1,181.1,35.4,19.4,150.2,159.5,Forest,Omnivore,Omnivore,Insessorial,24.6,NA,2.285682374,0.524990394,LC,3403,2.76E+13,63.14912631,51.30582377,Palearctic,34,10.29435357,0.105059545,11_2012_seed_removal_net,52.845312,23.809758
Hippolais icterina,-2.043297432,0.658815882,0.027854149,-0.916265775,-0.828911384,-1.671238089,-0.988584287,Acrocephalidae,17.5,9.1,3.8,3.4,20.6,77.9,24,30.8,54.6,13.2,Woodland,Carnivore,Invertivore,Insessorial,10.1,NA,4.425416811,-0.237978424,LC,3245,3.29E+13,19.96574765,8.060844804,Afrotropical,7,7.226325827,0.153455052,11_2012_seed_removal_net,52.845312,23.809758
Parus major,1.482174594,-0.503841862,0.007390345,0.634337844,1.472304506,1.231438592,0.729333436,Paridae,11.3,8,4,4.3,17.4,70.9,13.3,18.7,61.2,16.3,Woodland,Omnivore,Invertivore,Insessorial,NA,NA,4.519000871,0.428053848,LC,5257,4.56E+13,68.18034022,48.28588146,Palearctic,52,9.341920709,0.114665511,11_2012_seed_removal_net,52.845312,23.809758
Parus palustris,-0.710393205,-0.206957545,0.025303661,-0.52861487,-0.568396378,-0.219899749,-0.469404543,Paridae,9.4,6.7,3.3,4.1,15.9,64,11.4,17.9,54.8,11.1,Forest,Omnivore,Invertivore,Insessorial,NA,NA,1.329096394,0.607551834,NA,1496,1.21E+13,20.97917081,51.6695485,Palearctic,47,9.499558194,0.111862846,11_2012_seed_removal_net,52.845312,23.809758
Sylvia atricapilla,2.775300861,0.351411484,-0.011145978,1.797290559,1.472304506,1.231438592,1.754769152,Sylviidae,15.2,7.2,3.2,3.4,20.8,75.9,20.5,27,62.2,16.7,Woodland,Omnivore,Omnivore,Insessorial,13.6,NA,2.422965045,0.060701022,LC,2998,2.78E+13,24.45212678,47.01415534,Palearctic,85,13.44927879,0.077912271,11_2012_seed_removal_net,52.845312,23.809758
Sylvia borin,-1.47985948,-0.128409619,-0.01666153,-0.916265775,-0.828911384,-0.703679195,-0.933832606,Sylviidae,15.1,7.2,3.5,3.6,20.1,78.7,23.6,30,57.9,18.2,Woodland,Omnivore,Omnivore,Insessorial,14,NA,3.611041333,-0.056587484,LC,5398,5.33E+13,31.71388488,38.25376116,Palearctic,63,11.31433395,0.09334886,11_2012_seed_removal_net,52.845312,23.809758
Turdus merula,0.714923357,-0.424122833,-0.031824788,0.246686939,0.278277393,0.747659145,0.268625682,Turdidae,28.5,15.5,5.3,7.5,33.6,128.4,29.8,23.1,106.3,102.7,Forest,Omnivore,Omnivore,Generalist,NA,NA,1.22701294,0.171107025,LC,2790,2.49E+13,27.69777951,49.63903324,Palearctic,97,8.885738317,0.116686515,11_2012_seed_removal_net,52.845312,23.809758
Turdus philomelos,2.373116142,0.081584095,0.030860384,1.409639654,1.472304506,1.231438592,1.461425191,Turdidae,23.1,11.9,5,5.7,31.8,116,35.7,30.7,81.7,67.7,Forest,Omnivore,Invertivore,Generalist,NA,NA,1.531042733,0.57972099,LC,2997,2.32E+13,42.82507453,54.28037594,Palearctic,80,13.83200364,0.075404385,11_2012_seed_removal_net,52.845312,23.809758
Dendrocopos medius,-1.018971354,0.680818592,-0.006213736,-0.890870806,-0.666666667,0.072310153,-0.838436423,Picidae,25,16.4,5.7,6.3,19.5,123.6,34.9,28.1,83.9,59,Woodland,Carnivore,Invertivore,Insessorial,NA,NA,0.319437418,0.315664049,LC,646,5.46E+12,24.4626334,48.15437503,Palearctic,9,7.186827259,0.174570228,111_2011_fruit_removal_net,52.717234,23.816766
Erithacus rubecula,1.87672951,-0.260564242,-0.008843226,1.247219129,1.333333333,0.723101526,1.229493476,Muscicapidae,14,7,2.9,3.3,24.5,71.6,14.2,19.9,56.9,17.7,Forest,Carnivore,Omnivore,Generalist,14.3,NA,0.549256073,0.444044802,LC,2178,1.71E+13,29.78227269,53.37925815,Palearctic,79,15.11535306,0.071639552,111_2011_fruit_removal_net,52.717234,23.816766
