"id1","id2","Count"
"1","2",131
"1","3",88
"1","4",15
"1","5",107
"1","6",1
"1","7",1
"1","8",9
"1","9",76
"1","10",76
"1","11",4
"1","12",1
"1","13",239
"1","14",72
"1","15",35
"1","16",3
"1","17",36
"1","19",1
"1","20",1
"1","21",18
"1","22",11
"1","23",109
"1","25",12
"1","26",65
"1","28",1
"1","29",56
"1","30",4
"1","32",136
"1","33",422
"1","34",133
"1","36",12
"1","37",5
"1","39",2
"1","42",81
"1","44",106
"1","45",48
"1","46",2
"1","47",7
"1","48",1
"1","49",9
"1","51",12
"1","52",154
"1","53",1
"1","55",3
"1","57",1
"1","58",3
"1","59",1
"1","60",3
"1","62",3
"1","63",3
"1","64",108
"1","65",32
"1","67",125
"1","68",3
"1","69",1
"1","70",60
"1","71",118
"1","73",2
"1","74",52
"1","75",11
"1","76",1
"1","77",6
"1","79",112
"1","81",204
"1","82",68
"1","83",11
"1","84",210
"1","85",48
"1","86",3
"1","87",4
"1","89",94
"1","90",22
"1","92",15
"1","95",88
"1","96",1
"1","97",112
"1","98",15
"2","3",138
"2","4",14
"2","5",241
"2","6",2
"2","9",77
"2","10",70
"2","11",4
"2","13",285
"2","14",46
"2","15",88
"2","16",9
"2","17",83
"2","18",2
"2","19",1
"2","20",6
"2","21",91
"2","22",27
"2","23",194
"2","25",32
"2","26",37
"2","29",93
"2","30",4
"2","32",171
"2","33",233
"2","34",113
"2","36",25
"2","37",3
"2","39",2
"2","42",213
"2","44",336
"2","45",39
"2","46",15
"2","47",11
"2","49",2
"2","51",28
"2","52",242
"2","55",8
"2","57",4
"2","58",1
"2","59",1
"2","60",13
"2","62",1
"2","63",46
"2","64",180
"2","65",58
"2","67",160
"2","69",1
"2","70",49
"2","71",365
"2","72",1
"2","73",2
"2","74",13
"2","75",9
"2","76",2
"2","77",8
"2","79",104
"2","81",214
"2","82",102
"2","83",7
"2","84",200
"2","85",36
"2","86",3
"2","87",1
"2","89",149
"2","90",55
"2","91",1
"2","92",21
"2","93",5
"2","95",54
"2","96",3
"2","97",90
"2","98",34
"3","4",1
"3","5",149
"3","7",3
"3","8",2
"3","9",67
"3","10",62
"3","11",1
"3","12",1
"3","13",119
"3","14",48
"3","15",24
"3","16",1
"3","17",39
"3","19",1
"3","21",64
"3","22",7
"3","23",215
"3","25",93
"3","26",18
"3","29",124
"3","32",261
"3","33",23
"3","34",133
"3","36",4
"3","37",2
"3","39",1
"3","42",144
"3","44",285
"3","45",88
"3","46",2
"3","47",18
"3","48",1
"3","49",2
"3","50",5
"3","51",12
"3","52",122
"3","57",1
"3","58",1
"3","60",1
"3","63",2
"3","64",106
"3","65",19
"3","67",49
"3","70",29
"3","71",125
"3","72",2
"3","74",21
"3","75",47
"3","76",6
"3","77",7
"3","79",115
"3","80",1
"3","81",256
"3","82",103
"3","83",5
"3","84",210
"3","85",40
"3","86",1
"3","87",6
"3","89",112
"3","90",32
"3","91",1
"3","92",4
"3","95",183
"3","97",54
"3","98",74
"4","5",1
"4","7",8
"4","9",20
"4","10",8
"4","11",3
"4","12",16
"4","13",1
"4","14",15
"4","15",3
"4","16",9
"4","17",69
"4","18",26
"4","19",8
"4","20",17
"4","21",32
"4","22",13
"4","23",6
"4","24",3
"4","25",12
"4","26",32
"4","29",8
"4","30",13
